Year,Partner,Imports,Exports,Difference,Scale
2000,CAN,230816137.678,178919985.24,51896152.43799999,29.00522955464558
2000,CHN,100012902.708,16184679.302,83828223.406,517.9480040462776
2000,MEX,135923120.58,111338634.548,24584486.03200002,22.080822287614126
2000,RUS,7658130.131,2092380.131,5565750.0,266.000900961528
2000,WLD,1217932974.446,781830672.843,436102301.60300004,55.77963576399286
2000,EU,163543932.32500002,116362492.325,47181440.000000015,40.54694864065169
2000,Other,579978751.024,356932501.2970001,223046249.72699994,62.48975616300217
2001,CAN,216234127.196,163421117.072,52813010.12400001,32.31712710709944
2001,CHN,102267288.925,19181936.062,83085352.863,433.14372748637516
2001,MEX,131334695.141,101295130.409,30039564.73200001,29.655487495508485
2001,RUS,6264072.874,2716088.46,3547984.414,130.6284558198815
2001,WLD,1140900159.185,729080421.077,411819738.1079999,56.48481651717632
2001,EU,165886564.314,111836513.844,54050050.47000001,48.32952012917182
2001,Other,518913410.7349999,330629635.2300001,188283775.50499982,56.94703542651934
2002,CAN,212398395.081,160918224.628,51480170.45300001,31.991510328931625
2002,CHN,133510392.719,22127509.053,111382883.666,503.3683791483928
2002,MEX,136025055.674,97470194.75,38554860.923999995,39.55553902697008
2002,RUS,7207030.0,2396944.154,4810085.846,200.67575783828627
2002,WLD,1200095833.882,693068306.701,507027527.181,73.15693450108074
2002,EU,176681135.70200002,105010952.13100001,71670183.57100001,68.25019878078264
2002,Other,534273824.706,305144481.985,229129342.72099996,75.08880423807345
2003,CAN,225035348.74,169920170.113,55115178.627000004,32.43592481713466
2003,CHN,163313862.524,28367720.782,134946141.74199998,475.70315140589844
2003,MEX,139686658.091,97411740.042,42274918.048999995,43.39817565190065
2003,RUS,9106464.838,2447218.211,6659246.626999999,272.114950643443
2003,WLD,1302833508.196,724736583.355,578096924.8410001,79.76648869646326
2003,EU,191704028.474,110897974.324,80806054.15,72.86522106699324
2003,Other,573987145.5290002,315691759.883,258295385.64600015,81.81885575402038
2004,CAN,260161285.509,189878783.654,70282501.85499999,37.01440492849893
2004,CHN,210500129.014,34427686.531,176072442.48299998,511.4268782610695
2004,MEX,157881923.554,110731247.27,47150676.283999994,42.581184125047194
